"region","2018","2019","2020"
"Российская Федерация","95.919","89.8","62.26"
"Республика Адыгея","47.619","80.95","57.14"
"Республика Алтай","50","50","0"
"Республика Башкортостан","100","91.18","53.68"
"Республика Бурятия","86.842","76.32","28.95"
"Республика Дагестан","100","65.56","40"
"Республика Ингушетия","100","88.89","44.44"
"Кабардино-Балкарская Республика","100","190","90"
"Республика Калмыкия","116.667","66.67","50"
"Карачаево-Черкесская Республика","108.696","60.87","21.74"
"Республика Карелия","100","120","60"
"Республика Коми","150","130","100"
"Республика Крым","100","71.93","69.23"
"Республика Марий Эл","64.286","85.71","35.71"
"Республика Мордовия","137.5","83.33","62.5"
"Республика Саха (Якутия)","100","0","0"
"Республика Северная Осетия - Алания","95.454","159.09","68.18"
"Республика Татарстан","88.281","78.91","56.25"
"Республика Тыва","81.818","90.91","90.91"
"Удмуртская Республика","94.118","107.84","90.2"
"Республика Хакасия","72.727","72.73","72.73"
"Чеченская Республика","0","0","0"
"Чувашская Республика","80.488","78.05","46.34"
"Алтайский край","100","89.55","71.64"
"Забайкальский край","89.474","68.42","63.16"
"Камчатский край","136.364","90.91","91.67"
"Краснодарский край","144.086","151.61","113.98"
"Красноярский край","163.83","180.85","104.26"
"Пермский край","52.846","53.66","30.08"
"Приморский край","96.078","130.39","92.16"
"Ставропольский край","120.732","100","57.32"
"Хабаровский край","119.697","125.76","57.58"
"Амурская область","136","136","88"
"Архангельская область","96.552","75.86","75.86"
"Астраханская область","116","140","108"
"Белгородская область","81.482","85.19","62.96"
"Брянская область","110","100","53.33"
"Владимирская область","92.523","73.83","29.91"
"Волгоградская область","100","106.56","81.97"
"Вологодская область","93.617","91.49","68.09"
"Воронежская область","86.238","81.65","52.29"
"Ивановская область","78.431","56.86","37.25"
"Иркутская область","93.396","83.96","56.6"
"Калининградская область","94.737","89.47","68.42"
"Калужская область","63.265","71.43","42.86"
"Кемеровская область","107.143","92.86","78.57"
"Кировская область","85.714","105.71","105.71"
"Костромская область","100","130.77","61.54"
"Курганская область","155.556","88.89","66.67"
"Курская область","100","81.36","64.41"
"Ленинградская область","82.456","89.47","70.18"
"Липецкая область","61.538","65.38","42.31"
"Магаданская область","100","133.33","0"
"Московская область","87.283","68.79","53.76"
"Мурманская область","166.667","166.67","111.11"
"Нижегородская область","55.217","79.57","40"
"Новгородская область","152.941","76.47","23.53"
"Новосибирская область","113.954","67.44","88.37"
"Омская область","144.086","149.46","92.47"
"Оренбургская область","71.642","73.13","26.87"
"Орловская область","130","50","50"
"Пензенская область","82.692","67.31","63.46"
"Псковская область","92.308","100","7.69"
"Ростовская область","81.372","51.96","22.55"
"Рязанская область","0","98.11","64.15"
"Самарская область","96.923","73.08","48.46"
"Саратовская область","132.222","91.11","93.33"
"Сахалинская область","100","80","120"
"Свердловская область","105.882","88.24","135.29"
"Смоленская область","120","76","52"
"Тамбовская область","0","76.67","60"
"Тверская область","79.487","71.79","85"
"Томская область","116.667","100","16.67"
"Тульская область","111.321","128.3","100"
"Тюменская область","124.658","142.47","93.15"
"Ульяновская область","106.061","93.94","66.67"
"Челябинская область","180","63.64","60"
"Ярославская область","103.947","106.58","86.84"
"г. Москва","0","0","0"
"г. Санкт-Петербург","0","0","65.57"
"г. Севастополь","75","66.67","41.67"
"Еврейская авт. область","100","25","0"
"Ненецкий авт. округ","0","0","0"
"Ханты-Мансийский авт. округ - Югра","53.488","81.4","48.84"
"Чукотский авт. округ","0","0","0"
"Ямало-Ненецкий авт. округ","100","100","0"
